"annotation_id","annotator","comment","created_at","id","lead_time","rating","sentiment","updated_at","Вопрос решен","Нравится качество выполнения заявки","Нравится качество работы сотрудников","Нравится скорость отработки заявок","Понравилось выполнение заявки"
7,"1","спасибо","2025-05-15T09:25:50.151897Z",2945792,32.642,5,"не подходит не к одой теме","2025-05-16T08:36:29.361336Z","","","","",""
8,"1","спасибо!","2025-05-15T09:25:54.082754Z",3234340,2.312,5,"не подходит не к одой теме","2025-05-15T09:25:54.082754Z","","","","",""
3,"1","Отлично ","2025-05-15T08:21:53.122821Z",3380332,66.186,5,"не подходит не к одой теме","2025-05-15T09:26:08.330920Z","","","","",""
1,"1","Благодарю за оперативное решение проблемы ! ","2025-05-15T07:51:59.448076Z",3381812,94.201,5,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}","2025-05-15T09:26:35.084087Z","","","","",""
4,"1","Прекрасный специалист! Побольше таких","2025-05-15T08:22:05.789675Z",3461991,16.708,5,"Нравится качество работы сотрудников","2025-05-15T09:26:47.729758Z","","","","",""
5,"1","Спасибо ","2025-05-15T08:22:09.696354Z",3551430,6.849,5,"не подходит не к одой теме","2025-05-15T09:26:51.786000Z","","","","",""
9,"1","пересчет, и скорость 
","2025-05-15T09:27:00.707739Z",3572768,7.56,1,"не подходит не к одой теме","2025-05-15T09:27:00.707739Z","","","","",""
10,"1","Спасибо за обновление покраски стен","2025-05-15T09:27:23.533477Z",3584536,20.575,5,"{""choices"":[""Нравится качество выполнения заявки"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-15T09:28:35.083980Z","","","","",""
11,"1","выполнили быстро","2025-05-15T09:27:37.873264Z",3596020,9.323,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-15T09:28:26.808341Z","","","","",""
12,"1","Спасибо! ","2025-05-15T09:27:42.460809Z",3617808,2.261,5,"не подходит не к одой теме","2025-05-15T09:27:42.460809Z","","","","",""
13,"1","спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ","2025-05-15T09:27:56.556331Z",3627490,12.753,5,"Нравится качество работы сотрудников","2025-05-15T09:27:56.556331Z","","","","",""
14,"1","спасибо 
","2025-05-15T09:28:01.296240Z",3657819,2.423,5,"не подходит не к одой теме","2025-05-15T09:28:01.296240Z","","","","",""
15,"1","Спасибо ","2025-05-15T09:28:03.875706Z",3691620,1.679,5,"не подходит не к одой теме","2025-05-15T09:28:03.875706Z","","","","",""
16,"1","Решили мой вопрос. Спасибо! ","2025-05-15T09:28:22.701193Z",3695420,14.242,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-15T09:28:22.701193Z","","","","",""
17,"1","Очень радует работа УК. Оперативно! Спасибо!","2025-05-15T09:29:14.526788Z",3716702,25.302,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-15T09:29:14.526788Z","","","","",""
18,"1","Все исправили ","2025-05-15T09:29:21.316443Z",3726842,4.171,5,"Вопрос решен","2025-05-15T09:29:21.316443Z","","","","",""
19,"1","спасибо за оперативную работу ","2025-05-15T09:29:26.728194Z",3745025,3.059,5,"Нравится скорость отработки заявок","2025-05-15T09:29:26.728194Z","","","","",""
20,"1","Выполнили отлично , обработка заявки была слишком дорогой ","2025-05-15T09:43:14.200282Z",3749719,67.661,5,"{""choices"":[""Нравится качество выполнения заявки"",""Вопрос решен""]}","2025-05-15T09:43:14.200282Z","","","","",""
21,"1","спасибо большое! теперь не скрипят ","2025-05-15T09:43:42.307504Z",3751364,15.001000000000001,5,"{""choices"":[""Нравится качество выполнения заявки"",""Вопрос решен""]}","2025-05-15T09:43:42.307504Z","","","","",""
22,"1","спасибо","2025-05-15T09:43:46.159450Z",3766183,2.222,5,"не подходит не к одой теме","2025-05-15T09:43:46.159450Z","","","","",""
23,"1","Спасибо!","2025-05-15T09:43:48.935765Z",3770102,1.875,5,"не подходит не к одой теме","2025-05-15T09:43:48.936765Z","","","","",""
24,"1","Норм","2025-05-15T09:43:51.685076Z",3773834,1.855,1,"не подходит не к одой теме","2025-05-15T09:43:51.685076Z","","","","",""
25,"1","спасибо. все прошло очень хорошо","2025-05-15T09:44:16.536570Z",3791959,18.977,5,"Нравится качество выполнения заявки","2025-05-15T09:44:16.536570Z","","","","",""
26,"1","Спасибо, пришли все поменяли за 10 минут ","2025-05-15T09:44:26.671286Z",3797804,8.349,5,"Нравится скорость отработки заявок","2025-05-15T09:44:26.671286Z","","","","",""
27,"1","Все очень оперативно ","2025-05-15T09:44:30.409824Z",3799741,2.47,5,"Нравится скорость отработки заявок","2025-05-15T09:44:30.409824Z","","","","",""
28,"1","Огромное спасибо.","2025-05-15T09:44:52.497413Z",3802024,20.843,5,"не подходит не к одой теме","2025-05-15T09:44:52.497413Z","","","","",""
